table,name,valueType,unit,repeatable,label,variableNameRegexp,variableValueRegexp
chemicals,row_id,integer,numeric,0,Unique identifer for the row in Opal,,
chemicals,child_id,text,,0,Unique identifer for the child,,
chemicals,cohort_id,integer,numeric,0,Unique identifier for the cohort,,
chemicals,m_mep_raw_precon,decimal,µg/ml,0,Maternal MEP preconception levels,,
chemicals,m_mep_lod_precon,decimal,µg/ml,0,Limit of detection of maternal  MEP at preconception,,
chemicals,m_mep_raw_preg,decimal,µg/ml,0,Maternal urine MEP pregnancy levels,,
chemicals,m_mep_lod_preg,decimal,µg/ml,0,Limit of detection of maternal urine MEP at pregnancy,,
chemicals,m_mep_raw_birth,decimal,µg/ml,0,Maternal  MEP birth levels,,
chemicals,m_mep_lod_birth,decimal,µg/ml,0,Limit of detection of maternal  MEP at birth,,
chemicals,m_mibp_raw_precon,decimal,µg/ml,0,Maternal MiBP preconception levels,,
chemicals,m_mibp_lod_precon,decimal,µg/ml,0,Limit of detection of maternal  MiBP at preconception,,
chemicals,m_mibp_raw_preg,decimal,µg/ml,0,Maternal urine MiBP pregnancy levels,,
chemicals,m_mibp_lod_preg,decimal,µg/ml,0,Limit of detection of maternal urine MiBP at pregnancy,,
chemicals,m_mibp_raw_birth,decimal,µg/ml,0,Maternal  MiBP birth levels,,
chemicals,m_mibp_lod_birth,decimal,µg/ml,0,Limit of detection of maternal  MiBP at birth,,
chemicals,m_mnbp_raw_precon,decimal,µg/ml,0,Maternal MnBP preconception levels,,
chemicals,m_mnbp_lod_precon,decimal,µg/ml,0,Limit of detection of maternal  MnBP at preconception,,
chemicals,m_mnbp_raw_preg,decimal,µg/ml,0,Maternal urine MnBP pregnancy levels,,
chemicals,m_mnbp_lod_preg,decimal,µg/ml,0,Limit of detection of maternal urine MnBP at pregnancy,,
chemicals,m_mnbp_raw_birth,decimal,µg/ml,0,Maternal  MnBP birth levels,,
chemicals,m_mnbp_lod_birth,decimal,µg/ml,0,Limit of detection of maternal  MnBP at birth,,
chemicals,m_mbzp_raw_precon,decimal,µg/ml,0,Maternal MBzP preconception levels,,
chemicals,m_mbzp_lod_precon,decimal,µg/ml,0,Limit of detection of maternal  MBzP at preconception,,
chemicals,m_mbzp_raw_preg,decimal,µg/ml,0,Maternal urine MBzP pregnancy levels,,
