table,name,valueType,unit,repeatable,label
urban,row_id,integer,numeric,0,Unique identifer for the row in Opal
urban,child_id,text,,0,Unique identifer for the child
urban,cohort_id,integer,numeric,0,Unique identifier for the cohort
urban,urb_deg_preg,integer,numeric,0,Urban degree during pregnancy  as classified by GHS-SMOD
urban,urb_deg_birth,integer,numeric,0,Urban degree at birth as classified by GHS-SMOD
urban,ath_agrgr_preg,decimal,%,0,"percentage of agrgr (agricultural areas, semi-natural areas and wetlands) land use within a buffer of 300 m at pregnancy"
urban,ath_airpt_preg,decimal,%,0,percentage of airpt (airports) land use within a buffer of 300 m at pregnancy
urban,ath_areases_quint_preg,integer,,0,area-level SES indicator (deprivation index in quintiles) at pregnancy
urban,ath_areases_tert_preg,integer,,0,area-level SES indicator (deprivation index in tertiles) at pregnancy
urban,ath_bdens100_preg,decimal,square_meter_per_square_kilometer,0,building density within a buffer of 100 m at pregnancy
urban,ath_bdens300_preg,decimal,square_meter_per_square_kilometer,0,building density within a buffer of 300 m at pregnancy
urban,ath_blue_dist_preg,decimal,meter,0,"straight line distance to nearest blue space > 5,000 m2 at  pregnancy"
urban,ath_blue_size_preg,decimal,square_meter,0,"area of closest blue space > 5,000m2 at pregnancy"
urban,ath_blueyn300_preg,binary,,0,"is there a blue space  > 5,000 m2 in a distance of 300 m? at pregnancy"
urban,ath_connind100_preg,decimal,number_per_square_kilometer,0,connectivity density within a buffer of 100 m at pregnancy
urban,ath_connind300_preg,decimal,number_per_square_kilometer,0,connectivity density within a buffer of 300 m at pregnancy
urban,ath_distinvnear1_preg,decimal,inverse_meter,0,inverse distance to nearest road at pregnancy
urban,ath_fdensity300_preg,decimal,number_per_square_kilometer,0,number of facilities present within a buffer of 300 m at pregnancy
urban,ath_foodenvdens300_preg,decimal,number_per_square_kilometer,0,number of facilities related to unhealthy food divided by the area of the 300 meters buffer at pregnancy
urban,ath_frichness300_preg,decimal,,0,number of different facility types present divided by the maximum potential number of facility types within a buffer of 300 m at pregnancy
urban,ath_green_dist_preg,decimal,meter,0,"straight line distance to nearest green space > 5,000 m2 at  pregnancy"
urban,ath_green_size_preg,decimal,square_meter,0,"area of closest green space > 5,000m2 at pregnancy"
urban,ath_greenyn300_preg,binary,,0,"is there a green space  > 5,000 m2 in a distance of 300 m? at pregnancy"
urban,ath_hdres_preg,decimal,%,0,percentage of hdres (decimal urban fabric) land use within a buffer of 300 m at pregnancy
urban,ath_hmax_preg,decimal,%,0,average of maximum relative humidity during pregnancy
urban,ath_hmin_preg,decimal,%,0,average of minimum relative humidity during pregnancy
urban,ath_hu_preg,decimal,%,0,average of relative humidity from eobs data during pregnancy
urban,ath_hum_preg,decimal,%,0,average of mean relative humidity during pregnancy
urban,ath_indtr_preg,decimal,%,0,"percentage of indtr (industrial, commercial, public, military and private units) land use within a buffer of 300 m at pregnancy"
urban,ath_lan_preg,decimal,DN,0,nighttime light at pregnancy
urban,ath_landuseshan300_preg,decimal,,0,landuse Shannon's Evenness Index within a buffer of 300 m at pregnancy
urban,ath_lden_c_preg,integer,,0,categorized day-evening-night level at pregnancy
urban,ath_lden_preg,decimal,A_weighted_decibel,0,day-evening-night level at pregnancy
urban,ath_ldres_preg,decimal,%,0,percentage of ldres (disdecimal dense/medium density/low density urban fabric) land use within a buffer of 300 m at pregnancy
urban,ath_lines_100_preg,decimal,meter_per_square_kilometer,0,length of public transport lines within a buffer of 100 m at pregnancy
urban,ath_lines_300_preg,decimal,meter_per_square_kilometer,0,length of public transport lines within a buffer of 300 m at pregnancy
