table,variable,name,missing,label
core,cohort_id,101,0,genr
core,cohort_id,102,0,inma
core,cohort_id,103,0,ninfea
core,cohort_id,104,0,sws
core,cohort_id,105,0,alspac
core,cohort_id,106,0,dnbc
core,cohort_id,107,0,bib
core,cohort_id,108,0,gecko
core,cohort_id,109,0,rhea
core,cohort_id,110,0,moba
core,cohort_id,111,0,elfe
core,cohort_id,112,0,eden
core,cohort_id,113,0,nfbc66
core,cohort_id,114,0,nfbc86
core,cohort_id,115,0,hbcs
core,cohort_id,116,0,chop
core,cohort_id,117,0,raine
core,cohort_id,118,0,rug
core,cohort_id,119,0,kanc
core,cohort_id,120,0,gaspii
core,cohort_id,121,0,piccolipu
core,cohort_id,122,0,abcd
core,cohort_id,123,0,bisc
core,cohort_id,124,0,environage
core,cohort_id,125,0,helix
core,cohort_id,126,0,pelagie
core,cohort_id,127,0,sepages
core,cohort_id,128,0,tng
core,cohort_id,129,0,hgs
core,cohort_id,130,0,elspac
core,cohort_id,131,0,genxxi
core,cohort_id,132,0,genrnext
core,coh_country,36,0,Australia
core,coh_country,208,0,Denmark
core,coh_country,246,0,Finland
core,coh_country,250,0,France
core,coh_country,276,0,Germany
core,coh_country,300,0,Greece
core,coh_country,380,0,Italy
core,coh_country,528,0,Netherlands
core,coh_country,578,0,Norway
core,coh_country,724,0,Spain
core,coh_country,826,0,UnitedKingdom
core,cob_m,0,0,Born in country of cohort
core,cob_m,1,0,Born in EU country (outside cohort country)
core,cob_m,2,0,Born in other country
core,ethn1_m,1,0,Western
core,ethn1_m,2,0,Non-western
core,ethn1_m,3,0,Mixed
core,ethn2_m,1,0,White (Caucasian)
core,ethn2_m,2,0,Non-white (non-Caucasian)
core,ethn2_m,3,0,Mixed
core,ethn3_m,1,0,Western
core,ethn3_m,2,0,Non-western
core,ethn3_m,3,0,Mixed
core,death_m,0,0,No
core,death_m,1,0,Yes
core,prepreg_weight_mes,0,0,self-reported
core,prepreg_weight_mes,1,0,measured
core,latepreg_weight_mes,0,0,self-reported
core,latepreg_weight_mes,1,0,measured
core,preg_gain_mes,0,0,self-reported
core,preg_gain_mes,1,0,measured
core,preg_gain_mes,2,0,pre-pregnancy weight measured and late-pregnancy weight reported
core,preg_gain_mes,3,0,pre-pregnancy weight reported and late-pregnancy weight recorded
core,height_mes_m,0,0,self-reported
core,height_mes_m,1,0,measured
core,prepreg_dia,1,0,No
core,prepreg_dia,2,0,TypeI
