table,name,valueType,unit,repeatable,label,variableNameRegexp,variableValueRegexp
core,row_id,integer,numeric,0,Unique identifer for the row in Opal,,
core,child_id,text,,0,Unique identifer for the child,,
core,mother_id,text,,0,Unique identifer for the mother,,
core,preg_no,integer,numeric,0,Pregnancy number,,
core,child_no,integer,numeric,0,Child number,,
core,cohort_id,integer,numeric,0,Unique identifier for the cohort,,
core,coh_country,integer,numeric,0,Country of the cohort,,
core,cob_m,integer,numeric,0,Maternal country of birth,,
core,ethn1_m,integer,numeric,0,Maternal ethnicity (country of origin),,
core,ethn2_m,integer,numeric,0,Maternal ethnicity (colour),,
core,ethn3_m,integer,numeric,0,Maternal ethnicity (best estimate),,
core,agebirth_m_y,integer,years,0,Maternal age at birth (in years),,
core,agebirth_m_d,integer,days,0,Maternal age at birth (in days),,
core,death_m,integer,numeric,0,Maternal death ,,
core,death_m_age,integer,days,0,Age of child at death of the mother,,
core,prepreg_weight,decimal,kg,0,Pre-pregnancy weight,,
core,prepreg_weight_mes,integer,numeric,0,Reported vs. measured pre-pregnancy weight ,,
core,prepreg_weight_ga,integer,days,0,Gestational age at measurement (prepreg_weight),,
core,latepreg_weight,decimal,kg,0,Late pregnancy weight,,
core,latepreg_weight_mes,integer,numeric,0,Reported vs. measured late-pregnancy weight ,,
core,latepreg_weight_ga,integer,days,0,Gestational age at measurement (latepreg_weight),,
core,preg_gain,decimal,kg,0,Maternal gestational weight gain,,
core,preg_gain_mes,integer,numeric,0,Reported vs. measured weight gain,,
core,height_m,decimal,cm,0,Maternal height,,
core,height_mes_m,integer,numeric,0,Reported vs. measured maternal height,,
core,prepreg_dia,integer,numeric,0,Maternal history of diabetes,,
core,preg_dia,integer,numeric,0,Gestational diabetes,,
core,preg_thyroid,integer,numeric,0,Thyroid disorders during pregnancy ,,
core,preg_fever,integer,numeric,0,Fever during pregnancy ,,
core,preeclam,integer,numeric,0,Preeclampsia/HELLP syndrome ,,
core,preg_ht,integer,numeric,0,Gestational hypertension ,,
core,asthma_m,integer,numeric,0,History of asthma ,,
core,prepreg_psych,integer,numeric,0,Pre-pregnancy psychiatric disorders ,,
core,preg_psych,integer,numeric,0,Psychiatric disorders during pregnancy ,,
core,ppd,integer,numeric,0,Post-partum depression,,
core,prepreg_smk,integer,numeric,0,Smoking before pregnancy,,
core,prepreg_cig,integer,numeric,0,Cigarettes before pregnancy,,
core,preg_smk,integer,numeric,0,Smoked pregnancy,,
core,preg_cig,integer,numeric,0,Cigarettes pregnancy,,
core,prepreg_alc,integer,numeric,0,Maternal pre-pregnancy alcohol intake (any),,
core,prepreg_alc_unit,integer,numeric,0,Maternal pre-pregnancy alcohol intake (units),,
core,preg_alc,integer,numeric,0,Maternal alcohol intake in pregnancy (any),,
core,preg_alc_unit,integer,numeric,0,Maternal alcohol intake in pregnancy (units),,
core,folic_prepreg,integer,numeric,0,Folic acids before conception,,
core,folic_preg12,integer,numeric,0,Folic acids 0-12 weeks,,
core,folic_post12,integer,numeric,0,Folic acids >12 weeks.,,
core,parity_m,integer,numeric,0,Maternal parity,,
core,preg_plan,integer,numeric,0,Planned pregnancy ,,
core,mar,integer,numeric,0,MAR (Medically Assisted Reproduction),,
core,ivf,integer,numeric,0,In vitro-fertilisation ,,
core,outcome,integer,numeric,0,Birth outcome,,
core,mode_delivery,integer,numeric,0,Mode of delivery ,,
core,plac_abrup,integer,numeric,0,Placental abruption at delivery ,,
core,cob_p,integer,numeric,0,Paternal country of birth,,
core,cob_p_fath,integer,numeric,0,"Type of father, paternal country of birth",,
core,ethn1_p,integer,numeric,0,Paternal ethnicity (country of origin),,
core,ethn2_p,integer,numeric,0,Paternal ethnicity (colour),,
core,ethn3_p,integer,numeric,0,Paternal ethnicity (best estimate),,
core,ethn_p_fath,integer,numeric,0,"Type of father, paternal ethnicity",,
core,agebirth_p_y,integer,numeric,0,Paternal age at birth (years),,
core,agebirth_p_d,integer,days,0,Paternal age at birth (days),,
core,agebirth_p_fath,integer,numeric,0,"Type of father, paternal age at birth",,
core,death_p,integer,numeric,0,Paternal death ,,
core,death_p_age,integer,days,0,Age of child at death of the father,,
core,death_p_fath,integer,numeric,0,"Type of father, paternal death",,
core,weight_f1,decimal,kg,0,"Paternal weight, primary father ",,
core,weight_mes_f1,integer,numeric,0,"Weight measurement, primary father",,
core,weight_f1_fath,integer,numeric,0,"Type of father, primary father's weight",,
core,height_f1,decimal,cm,0,"Paternal height, primary father ",,
core,height_mes_f1,integer,numeric,0,"Height measurement, primary father",,
core,height_f1_fath,integer,numeric,0,"Type of father, primary father's height",,
core,dia_bf,integer,numeric,0,History of diabetes (biological father),,
core,asthma_bf,integer,numeric,0,History of asthma (biological father),,
core,psych_bf,integer,numeric,0,History of psychiatric disorder (biological father),,
core,smk_p,integer,numeric,0,Paternal smoking during pregnancy (any),,
core,smk_cig_p,integer,numeric,0,Paternal smoking during pregnancy (cigarettes),,
core,smk_fath,integer,numeric,0,"Type of father, paternal smoking during pregnancy",,
core,birth_month,integer,numeric,0,Birth month ,,
core,birth_year,integer,numeric,0,Birth year,,
core,apgar,integer,numeric,0,Apgar score,,
core,neo_unit,integer,numeric,0,Transferred to neonatal unit ,,
core,sex,integer,numeric,0,Sex of the child,,
core,plurality,integer,numeric,0,Plurality,,
core,ga_lmp,integer,days,0,Gestational age (lmp),,
core,ga_us,integer,days,0,Gestational age (ultra sound),,
core,ga_mr,integer,days,0,Gestational age (medical record),,
core,ga_bj,integer,days,0,Gestational age (best estimate),,
core,birth_weight,decimal,g,0,Birth weight,,
core,birth_length,decimal,cm,0,Birth length,,
core,birth_head_circum,decimal,cm,0,Birth head circumference,,
core,weight_who_ga,integer,numeric,0,Weight for gestational age,,
core,plac_weight,decimal,g,0,Placenta weight ,,
core,con_anomalies,integer,numeric,0,Any congenital anomaly ,,
core,major_con_anomalies,integer,numeric,0,Severe congenital anomaly ,,
core,cer_palsy,integer,numeric,0,Cerebral palsy ,,
core,sibling_pos,integer,numeric,0,Sibling position ,,
core,death_child,integer,numeric,0,Death of child,,
core,death_child_age,integer,days,0,Age of death of child,,
core,breastfed_excl,decimal,months,0,Exclusive breastfeeding,,
core,breastfed_any,decimal,months,0,Any breastfeeding,,
core,breastfed_ever,integer,numeric,0,Ever breastfed,,
core,solid_food,decimal,months,0,Age of child when solid food introduced,,
core,childcare_intro,decimal,months,0,Age of child started in child care,,
core,sleept_psc,decimal,h/day,0,"Sleep (day + night), h/day, preschool age",,
core,sleeptage_psc,decimal,years,0,Age at sleept_psc collection,,
core,outdoorp_psc,decimal,h/day,0,"Time spent playing outdoors h/day, preschool age",,
core,outdoorpage_psc,decimal,years,0,Age at outdoop_psc collection,,
core,tv_psc,decimal,h/day,0,"Time spent watching TV, h/day, preschool age",,
core,screenoth_psc,decimal,h/day,0,"Time spent watching screens (except TV) h/day, preschool age",,
core,screenage_psc,decimal,years,0,Age at tv_psc and screenoth_psc collection,,
core,patternA_snackscreen_psc,decimal,,0,"Child’s score on the snack screen pattern (relative, derived from PCA loadings), preschool age",,
core,patternB_psc,decimal,,0,"Child’s score on the second multibehavioral pattern (relative, derived from PCA loadings), preschool age",,
core,eusilc_income,decimal,EUR,0,Predicted log-equivalised total disposable household income at baseline ,,
core,eusilc_income_quintiles,integer,numeric,0,Quintiles of the predicted log-equivalised total disposable household income at baseline ,,
core,miggen_child,integer,numeric,0,Child's migration generation ,,
core,region_mo,integer,numeric,0,Mother's region of birth,,
core,region_fa,integer,numeric,0,Father's region of birth,,
core,reledu_mo,decimal,numeric,0,Mother's relative level of education,,
core,reledu_fa,decimal,numeric,0,Father's relative level of education,,
core,urb_area_id,integer,numeric,0,unique identifier for the urban area,,
core,no2_preg,decimal,micrograms_per_cubic_meter,0,no2 average value (extrapolated back in time using ratio method) during pregnancy,,
core,nox_preg,decimal,micrograms_per_cubic_meter,0,nox average value (extrapolated back in time using ratio method) during pregnancy,,
core,pm10_preg,decimal,micrograms_per_cubic_meter,0,pm10 average value (extrapolated back in time using ratio method) during pregnancy,,
core,pm25_preg,decimal,micrograms_per_cubic_meter,0,pm25 average value (extrapolated back in time using ratio method) during pregnancy,,
core,pmcoarse_preg,decimal,micrograms_per_cubic_meter,0,pmcoarse average value (extrapolated back in time using ratio method) during pregnancy,,
core,pm25abs_preg,decimal,ten_power_minus_five_per_inverse_meter,0,pm25abs average value (extrapolated back in time using ratio method) during pregnancy,,
core,pm25cu_preg,decimal,nanograms_per_cubic_meter,0,pm25cu value at pregnancy,,
core,pm25fe_preg,decimal,nanograms_per_cubic_meter,0,pm25fe value at pregnancy,,
core,pm25k_preg,decimal,nanograms_per_cubic_meter,0,pm25k value at pregnancy,,
core,pm25ni_preg,decimal,nanograms_per_cubic_meter,0,pm25ni value at pregnancy,,
core,pm25s_preg,decimal,nanograms_per_cubic_meter,0,pm25s value at pregnancy,,
core,pm25si_preg,decimal,nanograms_per_cubic_meter,0,pm25si value at pregnancy,,
core,pm25v_preg,decimal,nanograms_per_cubic_meter,0,pm25v value at pregnancy,,
core,pm25zn_preg,decimal,nanograms_per_cubic_meter,0,pm25zn value at pregnancy,,
core,pm10cu_preg,decimal,nanograms_per_cubic_meter,0,pm10cu value at pregnancy,,
core,pm10fe_preg,decimal,nanograms_per_cubic_meter,0,pm10fe value at pregnancy,,
core,pm10k_preg,decimal,nanograms_per_cubic_meter,0,pm10k value at pregnancy,,
core,pm10ni_preg,decimal,nanograms_per_cubic_meter,0,pm10ni value at pregnancy,,
