table,name,valueType,unit,repeatable,label,variableNameRegexp,variableValueRegexp
methyl,row_id,integer,numeric,1,Unique identifier for the row in Opal,,
methyl,child_id,text,numeric,1,Unique identifier of the child_id,,
methyl,Horvath,decimal,numeric,1,Horvath DNAmAge from methylclock,,
methyl,ageAcc.Horvath ,decimal,numeric,1,Difference between Horvath DNAmAge and chronological age (ageAcc from methylclock),,
methyl,ageAcc2.Horvath ,decimal,numeric,1,"Residuals obtained after regressing chronological age and Horvath DNAmAge (similar to IEAA, ageAcc2 from methyclock)",,
methyl,ageAcc3.Horvath ,decimal,numeric,1,"Residuals obtained after regressing chronological age and Horvath DNAmAge adjusted for cell counts (similar to EEAA, ageAcc3 from methylclock)",,
methyl,Hannum,decimal,numeric,1,Hannum DNAmAge from methylclock,,
methyl,ageAcc.Hannum ,decimal,numeric,1,Difference between Hannum DNAmAge and chronological age (ageAcc from methylclock),,
methyl,ageAcc2.Hannum ,decimal,numeric,1,"Residuals obtained after regressing chronological age and Hannum DNAmAge (similar to IEAA, ageAcc2 from methyclock)",,
methyl,ageAcc3.Hannum ,decimal,numeric,1,"Residuals obtained after regressing chronological age and Hannum DNAmAge adjusted for cell counts (similar to EEAA, ageAcc3 from methylclock)",,
methyl,Levine,decimal,numeric,1,Levine DNAmAge from methylclock,,
methyl,ageAcc.Levine,decimal,numeric,1,Difference between Levine DNAmAge and chronological age (ageAcc from methylclock),,
methyl,ageAcc2.Levine,decimal,numeric,1,"Residuals obtained after regressing chronological age and Levine DNAmAge (similar to IEAA, ageAcc2 from methyclock)",,
methyl,ageAcc3.Levine,decimal,numeric,1,"Residuals obtained after regressing chronological age and Levine DNAmAge adjusted for cell counts (similar to EEAA, ageAcc3 from methylclock)",,
methyl,BNN,decimal,numeric,1,BNN DNAmAge from methylclock,,
methyl,ageAcc.BNN,decimal,numeric,1,Difference between BNN DNAmAge and chronological age (ageAcc from methylclock),,
methyl,ageAcc2.BNN,decimal,numeric,1,"Residuals obtained after regressing chronological age and BNN DNAmAge (similar to IEAA, ageAcc2 from methyclock)",,
methyl,ageAcc3.BNN,decimal,numeric,1,"Residuals obtained after regressing chronological age and BNN DNAmAge adjusted for cell counts (similar to EEAA, ageAcc3 from methylclock)",,
methyl,skinHorvath,decimal,numeric,1,Horvath2 DNAmAge from methylclock,,
methyl,ageAcc.skinHorvath,decimal,numeric,1,Difference between Horvath2 DNAmAge and chronological age (ageAcc from methylclock),,
methyl,ageAcc2.skinHorvath,decimal,numeric,1,"Residuals obtained after regressing chronological age and Horvath2 DNAmAge (similar to IEAA, ageAcc2 from methyclock)",,
methyl,ageAcc3.skinHorvath,decimal,numeric,1,"Residuals obtained after regressing chronological age and Horvath2 DNAmAge adjusted for cell counts (similar to EEAA, ageAcc3 from methylclock)",,
methyl,PedBE,decimal,numeric,1,PedBE DNAmAge from methylclock,,
methyl,ageAcc.PedBE,decimal,numeric,1,Difference between PedBE DNAmAge and chronological age (ageAcc from methylclock),,
methyl,ageAcc2.PedBE,decimal,numeric,1,"Residuals obtained after regressing chronological age and PedBE DNAmAge (similar to IEAA, ageAcc2 from methyclock)",,
