table,variable,name,missing,label
outcome,eczema_m,0,0,no
outcome,eczema_m,1,0,yes
outcome,allergy_inh_m,0,0,no
outcome,allergy_inh_m,1,0,yes
outcome,allergy_food_m,0,0,no
outcome,allergy_food_m,1,0,yes
outcome,allergy_any_m,0,0,no
outcome,allergy_any_m,1,0,yes
outcome,whe_ever,0,0,no
outcome,whe_ever,1,0,yes
outcome,whe_ever2,0,0,no
outcome,whe_ever2,1,0,yes
outcome,whe_ever4,0,0,no
outcome,whe_ever4,1,0,yes
outcome,whe_ever5_10,0,0,no
outcome,whe_ever5_10,1,0,yes
outcome,asthma_ever_CHICOS,0,0,no
outcome,asthma_ever_CHICOS,1,0,yes
outcome,asthma_ever_MeDALL,0,0,no
outcome,asthma_ever_MeDALL,1,0,yes
outcome,asthma_current_MeDALL,0,0,no
outcome,asthma_current_MeDALL,1,0,yes
outcome,asthma_current_ISAAC,0,0,no
outcome,asthma_current_ISAAC,1,0,yes
outcome,food_all_ever,0,0,no
outcome,food_all_ever,1,0,yes
outcome,inh_all_ever,0,0,no
outcome,inh_all_ever,1,0,yes
outcome,all_ever,0,0,no
outcome,all_ever,1,0,yes
outcome,urticaria,0,0,no
outcome,urticaria,1,0,yes
outcome,anaphylaxis,0,0,no
outcome,anaphylaxis,1,0,yes
outcome,eczema_ever,0,0,no
outcome,eczema_ever,1,0,yes
outcome,asthma_adult,0,0,no
outcome,asthma_adult,1,0,yes
outcome,COPD_adult_GOLD,0,0,no
outcome,COPD_adult_GOLD,1,0,yes
outcome,COPD_adult_LLN,0,0,no
outcome,COPD_adult_LLN,1,0,yes
outcome,COPD_adult_diagnosis,0,0,no
outcome,COPD_adult_diagnosis,1,0,yes
outcome,pets_preg,0,0,no
outcome,pets_preg,1,0,yes
outcome,heightmes_,0,0,Measured
outcome,heightmes_,1,0,Parent/self-reported
outcome,heightmes_,2,0,Medical record
outcome,weightmes_,0,0,Measured
outcome,weightmes_,1,0,Parent/self-reported
outcome,weightmes_,2,0,Medical record
outcome,headcircmes_,0,0,Measured
outcome,headcircmes_,1,0,Parent/self-reported
outcome,waistcircmes_,0,0,Measured
outcome,waistcircmes_,1,0,Parent/self-reported
outcome,hipcircmes_,0,0,Measured
outcome,hipcircmes_,1,0,Parent/self-reported
outcome,armcircmes_,0,0,Measured
outcome,armcircmes_,1,0,Parent/self-reported
outcome,dominant armc_,0,0,Dominant
outcome,dominant armc_,1,0,Non-dominant
outcome,dxafmmes_,0,0,Lunar Prodigy
outcome,dxafmmes_,1,0,Other
outcome,dxalmmes_,0,0,Lunar Prodigy
outcome,dxalmmes_,1,0,Other
outcome,biomes_,0,0,Tanita Body Fat Analyser
outcome,biomes_,1,0,Other
outcome,bicepsfmes_,0,0,Measured
