table,name,valueType,unit,repeatable,label
outcome,row_id,integer,numeric,0,Unique identifer for the row in Opal
outcome,child_id,text,,0,Unique identifer for the child
outcome,glucose_cord,decimal,mmol/l,0,glucose measured in cord blood
outcome,haem_cord,decimal,mmol/l,0,hameoglobin measured in cord blood
outcome,hba1c_cord,decimal,%,0,hba1c measured in cord blood
outcome,insulin_cord,decimal,mU/L,0,insulin measured in cord blood
outcome,crp_cord,decimal,mmol/l,0,crp measured in cord blood
outcome,il6_cord,decimal,mmol/l,0,il6 measured in cord blood
outcome,adipo_cord,decimal,mmol/l,0,adiponectin measured in cord blood
outcome,leptin_cord,decimal,mmol/l,0,leptin measured in cord blood
outcome,chol_cord,decimal,mmol/l,0,total cholesterol measured in cord blood
outcome,hdlc_cord,decimal,mmol/l,0,hdl cholesterol measured in cord blood
outcome,ldlc_cord,decimal,mmol/l,0,ldl cholesterol measured in cord blood
outcome,vldlc_cord,decimal,mmol/l,0,vldl cholesterol measured in cord blood
outcome,triglycerides_cord,decimal,mmol/l,0,triglycerides measured in cord blood
outcome,eczema_m,integer,,0,Maternal history of eczema before pregnancy (of index child)
outcome,allergy_inh_m,integer,,0,Maternal history of inhalant allergy before pregnancy (of index child)
outcome,allergy_food_m,integer,,0,Maternal history of food allergy before pregnancy (of index child)
outcome,allergy_any_m,integer,,0,Maternal history of any allergy before pregnancy (of index child)
outcome,whe_ever,integer,,0,Wheezing between ages 0-4 years
outcome,whe_ever2,integer,,0,Wheezing between ages 0-2 years
outcome,whe_ever4,integer,,0,Wheezing between ages 2-4 years
outcome,whe_ever5_10,integer,,0,Wheezing between ages 5-10 years
outcome,asthma_ever_CHICOS,integer,,0,School age asthma according to CHICOS definition
outcome,asthma_ever_MeDALL,integer,,0,Ever diagnosis of asthma according to MeDALL definition
outcome,asthma_current_MeDALL,integer,,0,Current asthma (MeDALL)
outcome,asthma_current_ISAAC,integer,,0,Current asthma (ISAAC)
outcome,food_all_ever,integer,,0,Ever doctor diagnosis of food allergy
outcome,inh_all_ever,integer,,0,Ever doctor diagnosis of inhalant allergy
outcome,all_ever,integer,,0,"Ever doctor diagnosis of allergy, type of allergen unspecified"
outcome,urticaria,integer,,0,Ever diagnosis of urticaria
outcome,anaphylaxis,integer,,0,Ever diagnosis of anaphylactic shock
outcome,eczema_ever,integer,,0,Ever doctor-diagnosis of eczema
outcome,asthma_adult,integer,,0,Ever diagnosis of asthma in adulthood based on physician diagnosis
outcome,COPD_adult_GOLD,integer,,0,Ever diagnosis of COPD in adulthood based on GOLD criteria
outcome,COPD_adult_LLN,integer,,0,Ever diagnosis of COPD in adulthood based on lower limit of normal (LLN)
outcome,COPD_adult_diagnosis,integer,,0,Ever diagnosis of COPD in adulthood based on physician diagnosis
