table,variable,name,missing,label
wave1,study_id ,101,0,Gen R 
wave1,study_id ,105,0,ALSPAC 
wave1,study_id ,111,0,ELFE
wave1,study_id ,112,0,EDEN 
wave1,study_id ,113,0,NFBC66 
wave1,study_id ,114,0,NFBC86
wave1,study_id ,118,0,DFBC
wave1,study_id ,119,0,FinnGeDi
wave1,study_id ,120,0,CONSTANCES
wave1,study_id ,121,0,Rotterdam Study
wave1,study_id ,122,0,OULU1935 and 1945
wave1,study_id ,123,0,ELIPA
wave1,study_id ,124,0,Fibrefects
wave1,study_id ,125,0,NOMA
wave1,study_id ,126,0,PANIC
wave1,study_id ,127,0,SYSDIMET
wave1,study_country,246,0,Finland
wave1,study_country,250,0,France
wave1,study_country,276,0,Germany
wave1,study_country,300,0,Greece
wave1,study_country,380,0,Italy
wave1,study_country,528,0,Netherlands
wave1,study_country,578,0,Norway
wave1,study_country,724,0,Spain
wave1,study_country,826,0,United Kingdom
wave1,parity_m,0,0,0
wave1,parity_m,1,0,1
wave1,parity_m,2,0,2
wave1,parity_m,3,0,3
wave1,parity_m,4,0,≥ 4
wave1,agebirth_p_fath,1,0,Biological father
wave1,agebirth_p_fath,2,0,Social father
wave1,agebirth_p_fath,3,0,Social mother
wave1,agebirth_p_fath,4,0,Unknown
wave1,weight_f1_fath,1,0,Biological father
wave1,weight_f1_fath,2,0,Social father
wave1,weight_f1_fath,3,0,Social mother
wave1,weight_f1_fath,4,0,Unknown
wave1,height_f1_fath,1,0,Biological father
wave1,height_f1_fath,2,0,Social father
wave1,height_f1_fath,3,0,Social mother
wave1,height_f1_fath,4,0,Unknown
wave1,prepreg_alc,0,0,No (never drinking)
wave1,prepreg_alc,1,0,Yes
wave1,prepreg_alc_unit,0,0,0 (Never drinking alcohol)
wave1,prepreg_alc_unit,1,0,Light (< 3 units per week)
wave1,prepreg_alc_unit,2,0,Moderate (≥3 - <7 units per week)
wave1,prepreg_alc_unit,3,0,Moderate to heavy (≥7 - <14 units per week)
wave1,prepreg_alc_unit,4,0,Heavy (≥14 units per week)
wave1,preg_alc,0,0,No
wave1,preg_alc,1,0,Yes
